date,yhat,sentiment_score,event,impact
2016-10-05,121.70312205940613,0.0,No Event,None
2016-10-06,131.17195238152314,0.0,No Event,None
2016-10-07,135.58383767629542,0.0,No Event,None
2016-10-08,129.62893805438782,0.0,No Event,None
2016-10-09,118.10131368197214,0.0,No Event,None
2016-10-10,139.6396143385346,0.0,No Event,None
2016-10-11,117.0343258339838,0.0,No Event,None
2016-10-12,124.57596396563372,0.0,No Event,None
2016-10-13,133.40829831087706,0.0,No Event,None
2016-10-14,137.02657169286903,0.0,No Event,None
2016-10-15,130.1306376006574,0.0,No Event,None
2016-10-16,117.52889603361386,0.0,No Event,None
2016-10-17,137.87866683149076,0.0,No Event,None
2016-10-18,113.99298991877502,0.0,No Event,None
2016-10-19,120.18825460839815,0.0,No Event,None
2016-10-20,127.6367552331576,0.0,No Event,None
2016-10-21,129.86415702333454,0.0,No Event,None
2016-10-22,121.60181519794752,0.0,No Event,None
2016-10-23,107.68985045887491,0.0,No Event,None
2016-10-24,126.81664406324592,0.0,No Event,None
2016-10-25,101.82476672883234,0.0,No Event,None
2016-10-26,107.05776835600696,0.0,No Event,None
2016-10-27,113.71194996640432,0.0,No Event,None
2016-10-28,115.33312451827668,0.0,No Event,None
2016-10-29,106.66833025206115,0.0,No Event,None
2016-10-30,92.56841778839872,0.0,No Event,None
2016-10-31,111.72718899843292,0.0,No Event,None
2016-11-01,86.98711312230579,0.0,No Event,None
2016-11-02,92.68605436621846,0.0,No Event,None
2016-11-03,100.00913543156892,0.0,No Event,None
2016-11-04,102.48574237339857,0.0,No Event,None
2016-11-05,94.84162888300771,0.0,No Event,None
2016-11-06,81.90203148363496,0.0,No Event,None
2016-11-07,102.3314600149307,0.0,No Event,None
2016-11-08,78.94017167787669,0.0,No Event,None
2016-11-09,86.03174258072718,0.0,No Event,None
2016-11-10,94.75583841483656,0.0,No Event,None
2016-11-11,98.60616492984316,0.0,No Event,None
2016-11-12,92.27353035390092,0.0,No Event,None
2016-11-13,80.54990480638835,0.0,No Event,None
2016-11-14,102.06911487958703,0.0,No Event,None
2016-11-15,79.6141564404906,0.0,No Event,None
2016-11-16,87.46551606710631,0.0,No Event,None
2016-11-17,96.75458157621374,0.0,No Event,None
2016-11-18,100.96210410022276,0.0,No Event,None
2016-11-19,94.77162912029918,0.0,No Event,None
2016-11-20,82.97377071105811,0.0,No Event,None
2016-11-21,104.20696049873236,0.0,No Event,None
2016-11-22,81.26465226838826,0.0,No Event,None
2016-11-23,88.44337491053108,0.0,No Event,None
2016-11-24,96.89572092883414,0.0,No Event,None
2016-11-25,100.12824399483776,0.0,No Event,None
2016-11-26,92.85419796827144,0.0,No Event,None
2016-11-27,79.89701017816631,0.0,No Event,None
2016-11-28,99.9301421725282,0.0,No Event,None
2016-11-29,75.7833429079409,0.0,No Event,None
2016-11-30,81.78971301444159,0.0,No Event,None
2016-12-01,89.13769434953512,0.0,No Event,None
2016-12-02,91.3679856677515,0.0,No Event,None
2016-12-03,83.22534375192048,0.0,No Event,None
